expression                                                                    	plurality 	Yago4          	manifestation               	modifiers            	vagueness
Alpha Kappa Alpha Sorority, Inc.                                              	instance  	Organization   	named                       	MODIFIERS            	NOT_VAGUE
the first historically African American Greek-lettered sorority               	instance  	Organization   	determined                  	adjective            	NOT_VAGUE
The organization                                                              	instance  	Organization   	determined anaphora         	MODIFIERS            	NOT_VAGUE
five basic tenets                                                             	class     	CreativeWork   	numbered                    	adjective            	NOT_VAGUE
high scholastic and ethical standards                                         	class     	CreativeWork   	undetermined                	adjective            	portions subjective
unity and friendship                                                        	class     	Intangible     	mass_noun                   	MODIFIERS           	NOT_VAGUE
college women                                                               	class     	Person      	undetermined                   	adjective           	NOT_VAGUE
problems                                                                    	class     	Intangible     	undetermined                	MODIFIERS          	    portions subjective
girls and women                                                             	class     	Person      	undetermined                	MODIFIERS          	    portions
their social stature                                                          	instance  	Intangible     	qualified_anaphora mass_noun	adjective            	subjective
a progressive interest                                                      	instance  	Intangible     	undetermined                	adjective           	subjective
college life                                                                	instance  	Intangible     	undetermined                	noun                	NOT_VAGUE
Service                                                                     	instance  	Action         	mass_noun                   	MODIFIERS           	subjective
All Mankind                                                                 	instance  	Person         	determined                   	MODIFIERS            	NOT_VAGUE
The sorority                                                                  	instance  	Organization   	determined anaphora         	MODIFIERS            	NOT_VAGUE
the historically black Howard University                                    	instance  	Organization   	determined named            	adjective           	NOT_VAGUE
Washington D.C.                                                             	instance  	Place        	named                       	MODIFIERS           	NOT_VAGUE
a group                                                                     	instance  	Person         	numbered                    	MODIFIERS           	NOT_VAGUE
sixteen students                                                            	instance  	Person         	numbered                    	adjective           	NOT_VAGUE
Ethel Hedgeman Lyle                                                           	instance  	Person         	named                       	MODIFIERS            	NOT_VAGUE
a sorority                                                                    	instance  	Organization   	undetermined anaphora       	MODIFIERS            	NOT_VAGUE
barriers                                                                      	class     	Intangible     	undetermined                	adjective            	portions
African-American women                                                        	class     	Person         	undetermined                	adjective            	portions
areas                                                                         	class     	Intangible     	undetermined                	MODIFIERS            	portions
little power or authority                                                     	instance  	Intangible     	mass_noun                   	adjective            	subjective
a lack                                                                      	instance  	Intangible     	undetermined                	MODIFIERS           	subjective
opportunities                                                               	class   	Intangible     	undetermined                	MODIFIERS           	portions subjective
minorities and women                                                        	class   	Person      	undetermined                	MODIFIERS           	portions
the early 20th century                                                      	instance  	Event       	determined                  	MODIFIERS           	degree
Alpha Kappa Alpha                                                             	instance  	Organization   	named                       	MODIFIERS            	NOT_VAGUE
The sorority                                                                  	instance  	Organization   	determined anaphora         	MODIFIERS            	NOT_VAGUE
