expression                                                                	plurality 	Yago4          	manifestation           	modifiers            	vagueness
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
a chemical element                                                        	instance  	BioChemEntity  	undetermined            	adjective            	NOT_VAGUE
the symbol AI                                                             	instance  	CreativeWork   	named                   	MODIFIERS            	NOT_VAGUE
atomic number 13                                                          	instance  	Intangible     	named                   	adjective            	NOT_VAGUE
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
a density                                                               	instance  	Intangible     	undetermined            	MODIFIERS           	NOT_VAGUE
other common metals                                                     	class   	BioChemEntity  	undetermined            	adjective           	NOT_VAGUE
one third that of steel                                                   	instance  	Intangible     	numbered                	preposition          	NOT_VAGUE
a great affinity                                                        	instance  	Intangible     	undetermined            	adjective           	degree
oxygen                                                                  	instance  	BioChemEntity  	undetermined            	MODIFIERS           	NOT_VAGUE
a protective layer                                                       	instance  	BioChemEntity  	undetermined            	adjective           	NOT_VAGUE
oxide                                                                   	instance  	BioChemEntity  	undetermined            	MODIFIERS           	NOT_VAGUE
the surface                                                             	instance  	Intangible  	determined              	MODIFIERS           	NOT_VAGUE
air                                                                       	instance  	BioChemEntity  	mass_noun               	MODIFIERS            	NOT_VAGUE
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
silver                                                                    	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
its color                                                                 	instance  	Intangible     	qualified_anaphora      	MODIFIERS            	NOT_VAGUE
its great ability                                                       	instance  	Intangible     	qualified_anaphora      	adjective           	subjective
reflect light                                                           	instance  	Intangible     	mass_noun               	adjective           	degree
It                                                                        	instance  	BioChemEntity  	anaphora                	MODIFIERS            	NOT_VAGUE
It                                                                        	instance  	BioChemEntity  	anaphora                	MODIFIERS            	NOT_VAGUE
one stable isotope, 27Al                                                  	instance  	BioChemEntity  	named numbered          	MODIFIERS            	NOT_VAGUE
this isotope                                                              	instance  	BioChemEntity  	anaphora                	MODIFIERS            	NOT_VAGUE
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
the twelfth most common element                                          	instance  	BioChemEntity  	determined              	adjective           	NOT_VAGUE
the Universe                                                            	instance  	Place        	determined              	MODIFIERS           	NOT_VAGUE
The radioactivity                                                        	instance  	intangible     	determined              	MODIFIERS           	NOT_VAGUE
26Al                                                                    	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
radiodating                                                               	instance  	Action         	mass_noun               	MODIFIERS            	NOT_VAGUE
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
a weak metal                                                            	instance  	BioChemEntity  	undetermined            	adjective           	degree
the boron group                                                         	instance  	BioChemEntity  	determined              	noun                	NOT_VAGUE
the group                                                                 	class     	BioChemEntity  	determined              	MODIFIERS            	NOT_VAGUE
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
