expression                                                        	plurality 	Yago4          	manifestation                    	modifiers                 	vagueness
George Herman Babe Ruth Jr.                                       	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
an American professional baseball player                          	instance  	Person         	undetermined contains_named      	adjective noun            	NOT_VAGUE
career                                                          	instance  	Intangible     	undetermined                       	MODIFIERS               	NOT_VAGUE
Major League Baseball                                             	instance  	Organization   	named                            	MODIFIERS               	NOT_VAGUE
22 seasons                                                        	class     	Event          	numbered                         	MODIFIERS                 	NOT_VAGUE
The Bambino                                                       	instance  	Person         	determined named                 	MODIFIERS                 	NOT_VAGUE
The Sultan of Swat                                                	instance  	Person         	determined named                 	preposition               	NOT_VAGUE
his MLB career                                                    	instance  	Intangible     	qualified_anaphora contains_named	MODIFIERS                 	NOT_VAGUE
a star left-handed pitcher                                      	instance  	Person         	undetermined                    	adjective                	NOT_VAGUE
the Boston Red Sox                                              	instance  	Organization   	determined named                	MODIFIERS               	NOT_VAGUE
his greatest fame                                                 	instance  	Intangible     	qualified_anaphora               	adjective                 	subjective
a slugging outfielder                                           	instance  	Person         	undetermined                     	adjective               	subjective
the New York Yankees                                            	instance  	Organization   	determined named                	MODIFIERS               	NOT_VAGUE
Ruth                                                              	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
many MLB batting records                                          	class     	Event          	numbered contains_named          	adjective                 	portions
career home runs                                                  	class     	Action         	undetermined                     	noun                      	NOT_VAGUE
runs                                                              	class     	Action         	undetermined                     	MODIFIERS                 	NOT_VAGUE
bases                                                           	class     	Action         	undetermined                     	MODIFIERS               	NOT_VAGUE
balls                                                           	class     	Product        	undetermined                     	MODIFIERS               	NOT_VAGUE
slugging percentage                                               	instance  	Action         	undetermined                     	adjective                 	NOT_VAGUE
on-base plus slugging                                             	instance  	Action         	undetermined                     	noun                      	NOT_VAGUE
Ruth                                                              	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
one of the greatest sports heroes                               	class     	Person         	determined                       	adjective               	subjective
American culture                                                	instance   	Intangible     	mass_noun                       	adjective                 	NOT_VAGUE
the greatest baseball player                                    	instance  	Person         	determined                      	adjective noun          	subjective
all time                                                        	instance  	Event         	mass_noun                       	MODIFIERS               	NOT_VAGUE
