expression                                                      	plurality 	Yago4          	manifestation                  	modifiers            	vagueness
Climate change                                                  	instance  	Event          	named                          	MODIFIERS            	NOT_VAGUE
the global warming                                              	instance  	Event          	determined                     	adjective            	NOT_VAGUE
human emissions                                                 	class     	Action         	undetermined                   	adjective            	portions
greenhouse gases                                                	class     	BioChemEntity  	undetermined                   	noun            	portions
the resulting large-scale shifts                                	class     	Event          	determined                     	adjective           	degree
weather patterns                                                	class     	Event          	undetermined                   	noun                	portions
previous periods                                                	class     	Event          	undetermined                   	adjective              	portions
climatic change                                                   	class     	Event          	undetermined                   	adjective           	subjective
the mid-20th century                                            	instance  	Event          	determined                     	adjective            	degree
humans                                                          	class     	Person         	undetermined                   	MODIFIERS            	NOT_VAGUE
unprecedented impact                                            	instance  	Intangible     	mass_noun                      	adjective           	subjective
Earth's climate system                                          	instance  	Intangible     	determined                     	noun                	NOT_VAGUE
change                                                          	instance  	Event       	undetermined                   	MODIFIERS           	subjective
a global scale                                                  	instance  	Intangible     	undetermined                   	adjective           	degree
The largest drive                                                	instance  	Intangible     	determined                     	adjective           	NOT_VAGUE
warming                                                          	instance  	Event        	mass_noun                     	MODIFIERS           	NOT_VAGUE
the emission                                                       	class     	Action         	determined mass_noun           	MODIFIERS           	NOT_VAGUE
greenhouse gases                                                	class     	BioChemEntity  	mass_noun                   	noun                	portions
carbon dioxide                                                  	instance  	BioChemEntity  	mass_noun                      	noun                 	NOT_VAGUE
methane                                                         	instance  	BioChemEntity  	mass_noun                      	MODIFIERS            	NOT_VAGUE
Fossil fuel burning                                             	instance  	Action         	mass_noun                      	noun                 	NOT_VAGUE
energy consumption                                              	instance  	Action         	mass_noun                      	noun                	NOT_VAGUE
the main source                                                 	instance   	Intangible     	determined                  	adjective              	NOT_VAGUE
these emissions                                                 	class     	Action      	qualified_anaphora             	MODIFIERS           	NOT_VAGUE
additional contributions                                        	class     	Intangible     	undetermined                   	adjective           	portions
agriculture                                                     	instance   	CreativeWork   	undetermined                   	MODIFIERS           	NOT_VAGUE
deforestation                                                   	instance  	Action         	mass_noun                      	MODIFIERS            	NOT_VAGUE
industrial processes                                            	class     	CreativeWork   	undetermined                   	adjective            	portions
smelting                                                        	class     	Action         	mass_noun                      	MODIFIERS            	NOT_VAGUE
