expression                                                	plurality 	Yago4          	manifestation                        	modifiers                 	vagueness
The National Flag of Canada                               	instance  	CreativeWork   	determined named                     	preposition               	NOT_VAGUE
the Canadian flag                                         	instance  	CreativeWork   	determined anaphora                  	adjective                 	NOT_VAGUE
the Maple Leaf                                            	instance  	CreativeWork   	determined named                     	MODIFIERS                 	NOT_VAGUE
l'Unifolié                                                	instance  	CreativeWork   	named                                	MODIFIERS                 	NOT_VAGUE
a red field                                              	instance  	CreativeWork   	undetermined                         	adjective                	NOT_VAGUE
a white square                                          	instance  	CreativeWork   	undetermined                         	adjective                	NOT_VAGUE
its centre                                                 	instance  	Place        	qualified_anaphora                     	MODIFIERS                	NOT_VAGUE
the ratio of 1:2:1                                        	instance  	intangible     	determined numbered                  	preposition               	NOT_VAGUE
the middle                                                	instance  	Intangible     	determined                           	MODIFIERS                 	NOT_VAGUE
a stylized, red, 11-pointed maple leaf                    	instance  	CreativeWork   	undetermined                         	adjective noun            	NOT_VAGUE
the centre                                                	instance  	Intangible     	determined                           	MODIFIERS                 	NOT_VAGUE
the first flag                                            	instance  	CreativeWork   	determined                           	adjective                 	NOT_VAGUE
both houses of Parliament                                 	class     	Organization   	named contains_named                 	preposition               	NOT_VAGUE
the Canadian monarch                                      	instance  	Person         	determined                           	adjective                 	NOT_VAGUE
the country's official national flag                      	instance  	CreativeWork   	determined                           	adjective                 	NOT_VAGUE
Prime Minister Lester B. Pearson                          	instance  	Person         	named                                	MODIFIERS                 	NOT_VAGUE
a committee                                               	instance  	Person         	undetermined                         	MODIFIERS                 	NOT_VAGUE
the ongoing issue                                       	instance  	Intangible     	determined                           	adjective                	NOT_VAGUE
the lack                                                	instance  	Intangible     	determined                           	MODIFIERS                	NOT_VAGUE
an official Canadian flag                               	instance  	CreativeWork   	undetermined                           	adjective                	NOT_VAGUE
a serious debate                                         	instance  	Intangible     	undetermined                         	adjective               	subjective
a flag change                                              	instance  	Intangible     	undetermined                         	adjective               	NOT_VAGUE
the Union Flag                                            	instance  	CreativeWork   	determined named                     	MODIFIERS                 	NOT_VAGUE
three choices                                             	class     	CreativeWork   	numbered                             	MODIFIERS                 	NOT_VAGUE
