expression                                                            	plurality 	Yago4          	manifestation                    	modifiers            	vagueness
General relativity                                                    	instance  	CreativeWork   	mass_noun                        	adjective            	NOT_VAGUE
the general theory                                                    	instance  	CreativeWork   	determined                       	adjective           	NOT_VAGUE
relativity                                                             	instance  	Intangible   	mass_noun                       	MODIFIERS           	NOT_VAGUE
the geometric theory                                                   	instance  	CreativeWork   	determined                       	adjective           	NOT_VAGUE
gravitation                                                            	instance  	Intangible   	mass_noun                       	MODIFIERS           	NOT_VAGUE
Albert Einstein                                                       	instance  	person         	named                            	MODIFIERS            	NOT_VAGUE
the current description                                               	instance  	CreativeWork   	determined                       	adjective           	NOT_VAGUE
gravitation                                                           	instance  	Intangible   	mass_noun                       	MODIFIERS           	NOT_VAGUE
modern physics                                                       	instance  	CreativeWork   	mass_noun                       	adjective           	degree
special relativity                                                    	instance  	CreativeWork   	mass_noun                        	adjective            	NOT_VAGUE
Newton's law                                                         	instance   	CreativeWork   	contains_named                     	MODIFIERS           	NOT_VAGUE
universal gravitation                                                	instance   	CreativeWork   	mass_noun                          	adjective           	NOT_VAGUE
a unified description                                                 	instance  	CreativeWork   	undetermined                     	adjective           	NOT_VAGUE
gravity                                                                	instance  	intangible   	mass_noun                       	MODIFIERS           	NOT_VAGUE
a geometric property                                                	instance  	Intangible     	undetermined                     	adjective              	NOT_VAGUE
space and time                                                         	class   	Intangible     	mass_noun                        	MODIFIERS           	NOT_VAGUE
four-dimensional spacetime                                            	instance  	intangible     	mass_noun                        	adjective            	NOT_VAGUE
the curvature                                                       	instance  	intangible     	determined                       	MODIFIERS              	NOT_VAGUE
spacetime                                                             	instance  	intangible     	mass_noun                       	MODIFIERS             	NOT_VAGUE
the energy                                                            	instance  	intangible     	determined mass_noun             	MODIFIERS            	NOT_VAGUE
momentum                                                              	instance  	intangible     	mass_noun                        	MODIFIERS            	NOT_VAGUE
matter                                                                	instance  	intangible     	mass_noun                        	MODIFIERS            	NOT_VAGUE
radiation                                                             	instance  	intangible     	mass_noun                        	MODIFIERS            	NOT_VAGUE
The relation                                                          	instance  	intangible     	determined                       	MODIFIERS            	NOT_VAGUE
the Einstein field equations                                          	class     	CreativeWork   	determined contains_named        	noun                 	NOT_VAGUE
a system                                                            	instance  	CreativeWork   	undetermined                     	MODIFIERS           	NOT_VAGUE
partial differential equations                                      	class     	CreativeWork   	undetermined                     	adjective           	NOT_VAGUE
Some predictions                                                    	class     	intangible     	numbered                         	MODIFIERS             	portions
general relativity                                                     	instance   	CreativeWork   	mass_noun                         	MODIFIERS             	NOT_VAGUE
classical physics                                                     	class     	CreativeWork   	mass_noun                        	adjective            	NOT_VAGUE
the passage                                                            	instance  	intangible     	determined                       	MODIFIERS             	NOT_VAGUE
time                                                                   	instance  	intangible     	mass_noun                       	MODIFIERS             	NOT_VAGUE
the geometry                                                          	instance  	intangible     	determined                       	MODIFIERS             	NOT_VAGUE
space                                                                  	instance  	intangible     	mass_noun                        	MODIFIERS             	NOT_VAGUE
the motion                                                            	instance   	Action       	determined mass_noun             	MODIFIERS             	NOT_VAGUE
bodies                                                                	class     	Product     	undetermined                     	MODIFIERS             	NOT_VAGUE
free fall                                                             	instance  	intangible     	mass_noun                        	adjective            	NOT_VAGUE
the propagation                                                       	instance  	Action       	determined mass_noun             	MODIFIERS             	NOT_VAGUE
light                                                                 	instance  	intangible     	mass_noun                       	MODIFIERS             	NOT_VAGUE
Examples                                                              	class     	intangible     	undetermined                     	MODIFIERS             	portions
such differences                                                      	class     	intangible     	numbered                         	MODIFIERS             	portions
gravitational time dilation                                           	instance  	intangible     	mass_noun                        	noun adjective       	NOT_VAGUE
gravitational lensing                                                 	instance  	intangible     	mass_noun                        	adjective            	NOT_VAGUE
the gravitational redshift                                             	instance  	intangible     	determined                       	adjective           	NOT_VAGUE
light                                                                 	instance  	intangible     	mass_noun                        	MODIFIERS           	NOT_VAGUE
the gravitational time delay                                          	instance  	intangible     	determined mass_noun             	noun adjective       	NOT_VAGUE
singularities/black holes                                             	class     	intangible     	undetermined                     	MODIFIERS            	NOT_VAGUE
The predictions                                                      	class     	CreativeWork   	determined                       	MODIFIERS             	NOT_VAGUE
general relativity                                                  	instance   	CreativeWork   	mass_noun                       	MODIFIERS             	NOT_VAGUE
relation                                                            	class   	intangible     	mass_noun                       	MODIFIERS             	NOT_VAGUE
