expression                                                         	plurality 	Yago4          	manifestation              	modifiers            	vagueness
The House of Plantagenet                                           	instance  	organization   	determined named           	preposition          	NOT_VAGUE
a royal house                                                      	instance  	intangible     	undetermined               	adjective            	NOT_VAGUE
the lands                                                        	class     	Place        	determined                 	MODIFIERS             	NOT_VAGUE
Anjou                                                              	instance   	Place        	named                    	MODIFIERS             	NOT_VAGUE
France                                                             	instance  	Place        	named                      	MODIFIERS            	NOT_VAGUE
The name Plantagenet                                               	instance  	intangible     	determined named           	MODIFIERS            	NOT_VAGUE
modern historians                                                  	class     	person         	undetermined               	adjective            	degree portions
four distinct royal houses                                         	class     	organization   	numbered                   	adjective            	NOT_VAGUE
the Angevins                                                       	class     	person         	determined named           	MODIFIERS            	NOT_VAGUE
counts                                                          	class     	Person       	undetermined            	MODIFIERS             	NOT_VAGUE
Anjou                                                              	instance   	Place        	named                    	MODIFIERS             	NOT_VAGUE
the main body                                                      	class     	person         	determined                 	adjective            	NOT_VAGUE
the loss                                                          	instance  	event          	determined                 	preposition          	NOT_VAGUE
Anjou                                                              	instance   	Place        	named                    	MODIFIERS             	NOT_VAGUE
the Plantagenets' two cadet branches                               	instance  	person         	determined contains_named  	noun                 	NOT_VAGUE
the houses                                                         	class     	organization   	determined named           	MODIFIERS             	NOT_VAGUE
Lancaster and York                                                 	class     	organization   	named                     	MODIFIERS            	NOT_VAGUE
The family                                                         	instance  	person         	determined anaphora        	MODIFIERS            	NOT_VAGUE
the English throne                                                 	instance  	intangible     	determined                 	MODIFIERS            	NOT_VAGUE
the accession                                                     	instance  	event          	determined                 	MODIFIERS            	NOT_VAGUE
Henry II                                                          	instance  	Person         	named                    	MODIFIERS             	NOT_VAGUE
the end of The Anarchy crises                                      	instance  	intangible     	determined contains_named  	preposition          	NOT_VAGUE
Richard III                                                        	instance  	person         	named                      	MODIFIERS            	NOT_VAGUE
battle                                                             	instance  	event          	undetermined               	MODIFIERS            	NOT_VAGUE
the Plantagenets                                                   	class     	person         	determined named           	MODIFIERS            	NOT_VAGUE
England                                                            	instance  	Place        	named                      	MODIFIERS            	NOT_VAGUE
The Plantagenet kings                                              	class     	person         	determined contains_named  	MODIFIERS            	NOT_VAGUE
compromises                                                        	class     	action         	undetermined               	MODIFIERS            	subjective
Magna Carta                                                        	instance  	creativework   	undetermined named         	MODIFIERS            	NOT_VAGUE
royal power                                                        	instance  	intangible     	mass_noun                  	adjective            	subjective
military support                                                   	instance  	action         	mass_noun                  	adjective            	NOT_VAGUE
The king                                                           	instance  	person         	determined                 	MODIFIERS            	NOT_VAGUE
the most powerful man                                           	instance  	person         	determined                 	adjective           	subjective
the nation                                                      	instance  	Organization   	determined                 	MODIFIERS           	NOT_VAGUE
the prerogative                                                    	instance  	intangible     	determined                 	MODIFIERS          	NOT_VAGUE
judgement                                                       	instance  	Action       	mass_noun                 	MODIFIERS             	NOT_VAGUE
feudal tribute                                                     	class     	intangible     	mass_noun                  	noun                 	NOT_VAGUE
warfare                                                            	instance  	intangible     	mass_noun                  	MODIFIERS            	NOT_VAGUE
duties                                                             	class     	intangible     	undetermined               	MODIFIERS            	portions
the realm                                                          	instance  	intangible     	determined                 	MODIFIERS            	NOT_VAGUE
a sophisticated justice system                                     	instance  	intangible     	undetermined               	adjective noun       	subjective
