expression                              	plurality 	Yago4          	manifestation              	modifiers            	vagueness
Myst                                    	instance  	CreativeWork   	named                      	MODIFIERS            	NOT_VAGUE
a graphic adventure puzzle video game   	instance  	CreativeWork   	undetermined               	adjective noun       	NOT_VAGUE
the Miller brothers                     	class     	Person         	determined named           	MODIFIERS            	NOT_VAGUE
Robyn                                   	instance  	Person         	named                      	MODIFIERS            	NOT_VAGUE
Rand                                    	instance  	Person         	named                      	MODIFIERS            	NOT_VAGUE
Cyan, Inc.                              	instance  	Organization   	named                      	MODIFIERS            	NOT_VAGUE
Broderbund                              	instance  	Organization   	named                      	MODIFIERS            	NOT_VAGUE
the Macintosh personal computer platform	instance  	Product        	determined contains_named  	adjective noun       	NOT_VAGUE
the game                                	instance  	CreativeWork   	determined anaphora        	MODIFIERS            	NOT_VAGUE
players                                 	class     	Person         	undetermined               	MODIFIERS            	portions
a special book                          	instance  	CreativeWork   	undetermined               	adjective            	subjective
the island                                	instance  	Place        	determined                	MODIFIERS             	NOT_VAGUE
Myst                                     	instance  	Place        	named                     	MODIFIERS             	NOT_VAGUE
puzzles                                 	class     	CreativeWork   	named                      	MODIFIERS            	portions
four other worlds                       	class     	Place        	numbered                   	MODIFIERS            	NOT_VAGUE
Ages                                    	class     	Place        	named                      	MODIFIERS            	NOT_VAGUE
the backstory                             	instance   	CreativeWork   	determined                 	MODIFIERS             	NOT_VAGUE
the game's characters                     	class     	Person         	determined                 	MODIFIERS             	NOT_VAGUE
the Miller brothers                     	class     	Person         	determined named           	MODIFIERS            	NOT_VAGUE
their start                                	instance  	Event          	qualified_anaphora         	MODIFIERS            	NOT_VAGUE
video game development                     	instance  	Intangible     	mass_noun                	noun                 	NOT_VAGUE
titles                                   	class     	CreativeWork   	undetermined               	MODIFIERS             	portions
children                                 	class     	Person         	undetermined               	MODIFIERS             	portions
their first game                         	class     	CreativeWork   	qualified_anaphora         	adjective           	NOT_VAGUE
adults                                   	class     	Person        	undetermined             	MODIFIERS           	NOT_VAGUE
funding                                 	instance  	Product        	mass_noun                  	modifiers            	degree
publisher Sunsoft                       	instance  	Organization   	named                      	MODIFIERS             	NOT_VAGUE
Development                             	instance  	CreativeWork   	mass_noun                  	MODIFIERS            	NOT_VAGUE
Cyan's biggest undertaking              	instance  	CreativeWork   	contains_named             	adjective            	subjective
Technical constraints                      	class     	CreativeWork   	undetermined               	adjective           	subjective
the time                                 	instance   	Event          	determined               	MODIFIERS           	NOT_VAGUE
the design                                	instance  	CreativeWork   	determined mass_noun       	MODIFIERS             	NOT_VAGUE
the game                                  	instance  	CreativeWork   	determined                 	MODIFIERS             	NOT_VAGUE
the production                            	instance  	CreativeWork   	determined mass_noun       	MODIFIERS             	NOT_VAGUE
its graphics                             	class     	CreativeWork   	qualified_anaphora       	MODIFIERS             	NOT_VAGUE
state-of-the-art                        	instance  	CreativeWork   	mass_noun                  	MODIFIERS             	NOT_VAGUE
Robyn Miller                            	instance  	Person         	named                      	MODIFIERS            	NOT_VAGUE
40 minutes                               	class     	Event          	numbered                   	MODIFIERS           	NOT_VAGUE
synthesized music                       	class     	CreativeWork   	mass_noun                  	adjective           	NOT_VAGUE
the soundtrack to Myst                  	instance  	CreativeWork   	determined contains_named  	MODIFIERS            	NOT_VAGUE
Myst                                    	instance  	CreativeWork   	named                      	MODIFIERS            	NOT_VAGUE
a surprise hit                          	instance  	CreativeWork   	undetermined               	noun                 	degree
Critics                                 	class     	Person         	undetermined               	MODIFIERS            	portions
the ability                              	instance  	Intangible     	determined                 	MODIFIERS             	NOT_VAGUE
the game                                  	instance  	CreativeWork   	determined                 	MODIFIERS           	NOT_VAGUE
players                                 	class     	Person         	undetermined               	adjective           	portions
its fictional world                     	instance  	CreativeWork   	qualified_anaphora         	adjective            	NOT_VAGUE
more than six million copies            	class     	Product        	numbered                   	MODIFIERS            	portions
the best-selling PC game                	instance  	CreativeWork   	determined                 	adjective            	NOT_VAGUE
The Sims                                	instance  	CreativeWork   	determined named           	MODIFIERS            	NOT_VAGUE
Myst sales                              	class     	Intangible     	undetermined contains_named	MODIFIERS            	NOT_VAGUE
adoption                                   	instance  	Intangible     	mass_noun                  	MODIFIERS           	subjective
the new CD-ROM format                   	instance  	Product     	determined                 	adjective           	NOT_VAGUE
a multimedia franchise                  	instance  	CreativeWork   	undetermined               	MODIFIERS            	NOT_VAGUE
clones                                  	class     	CreativeWork   	undetermined               	MODIFIERS            	portions
parodies                                	class     	CreativeWork   	undetermined               	MODIFIERS            	portions
new genres                                 	class     	CreativeWork   	undetermined               	adjective           	portions
video games                               	class     	CreativeWork   	undetermined               	noun                	NOT_VAGUE
Multiple remakes and ports              	class     	CreativeWork   	undetermined numbered      	adjective            	portions
the game                                	instance   	CreativeWork   	determined              	MODIFIERS            	NOT_VAGUE
other platforms                         	class     	Product        	undetermined               	adjective            	portions
spin-off novels                         	class     	CreativeWork   	undetermined               	MODIFIERS            	portions
other media                             	class     	CreativeWork   	undetermined               	adjective            	portions
