expression                                        	plurality 	Yago4          	manifestation                                       	modifiers            	vagueness
Nelson Rolihlahla Mandela                         	instance  	PERSON         	named                                               	MODIFIERS            	NOT_VAGUE
a South African anti-apartheid revolutionary      	instance  	PERSON         	undetermined                                        	adjective            	NOT_VAGUE
political leader                                  	instance  	PERSON         	undetermined                                        	adjective            	NOT_VAGUE
philanthropist                                    	instance  	PERSON         	undetermined                                        	MODIFIERS            	subjective
President of South Africa                         	instance  	PERSON         	named                                               	preposition          	NOT_VAGUE
the country's first black head of state           	instance  	PERSON         	determined                                          	adjective preposition	NOT_VAGUE
a fully representative democratic election        	instance  	Event          	undetermined                                        	adjective            	NOT_VAGUE
His government                                    	instance  	Organization   	qualified_anaphora mass_noun                        	MODIFIERS            	NOT_VAGUE
the legacy                                         	instance  	Intangible     	determined                                          	MODIFIERS           	NOT_VAGUE
apartheid                                         	instance  	intangible     	mass_noun                                           	MODIFIERS            	NOT_VAGUE
institutionalised racism                          	instance  	Intangible     	determined mass_noun                                	adjective           	NOT_VAGUE
racial reconciliation                             	instance  	Intangible     	mass_noun                                           	adjective            	subjective
an African nationalist                            	instance  	PERSON         	undetermined                                        	adjective            	NOT_VAGUE
socialist                                         	instance  	PERSON         	undetermined                                        	MODIFIERS            	subjective
the president                                   	instance  	PERSON         	determined                                             	MODIFIERS             	NOT_VAGUE
the African National Congress                   	instance  	Organization   	determined named                                       	MODIFIERS             	NOT_VAGUE
ANC                                               	instance  	Organization   	named                                               	MODIFIERS            	NOT_VAGUE
A Xhosa speaker                                   	instance  	PERSON         	undetermined contains_named                         	MODIFIERS            	NOT_VAGUE
Mandela                                           	instance  	PERSON         	undetermined                                        	MODIFIERS            	NOT_VAGUE
the Thembu royal family                           	instance  	PERSON         	determined contains_named                           	MODIFIERS            	NOT_VAGUE
Mvezo                                             	instance  	Place        	named                                               	MODIFIERS             	NOT_VAGUE
Union of South Africa                             	instance  	Organization   	named                                               	preposition          	NOT_VAGUE
law                                               	instance  	Intangible     	mass_noun                                           	MODIFIERS             	NOT_VAGUE
the University of Fort Hare                       	instance  	Organization   	determined named                                    	preposition          	NOT_VAGUE
the University of Witwatersrand                   	instance  	Organization   	determined named                                    	preposition          	NOT_VAGUE
a lawyer                                          	instance  	PERSON         	undetermined                                        	MODIFIERS             	NOT_VAGUE
Johannesburg                                      	instance  	Place        	named                                               	MODIFIERS             	NOT_VAGUE
anti-colonial and African nationalist politics    	class     	Intangible     	undetermined                                        	adjective noun       	NOT_VAGUE
the ANC                                           	instance  	organization   	determined named                                    	MODIFIERS            	NOT_VAGUE
its Youth League                                  	instance  	organization   	qualified_anaphora named                            	MODIFIERS            	NOT_VAGUE
the National Party's white-only government        	instance  	organization   	determined contains_named mass_noun                 	adjective            	NOT_VAGUE
apartheid                                         	instance  	intangible     	mass_noun                                           	MODIFIERS            	NOT_VAGUE
