expression                                                                	plurality 	Yago4          	manifestation               	modifiers                 	vagueness
Triceratops                                                               	class     	Taxon          	named                       	MODIFIERS                 	NOT_VAGUE
a genus                                                                 	instance  	Taxon          	undetermined                	MODIFIERS               	NOT_VAGUE
herbivorous ceratopsid dinosaur                                         	instance  	Taxon          	undetermined                	adjective noun          	NOT_VAGUE
the late Maastrichtian stage                                            	instance  	Event          	determined contains_named   	adjective                	degree
the late Cretaceous period                                              	instance  	Event          	determined contains_named   	adjective                	degree
68 million years                                                          	class     	Event          	numbered                    	MODIFIERS                 	NOT_VAGUE
North America                                                             	instance  	Place        	named                       	MODIFIERS                 	NOT_VAGUE
the last-known non-avian dinosaur genera                                  	instance  	Taxon          	determined                  	adjective noun            	NOT_VAGUE
the Cretaceous–Paleogene extinction event                                 	class     	Event          	determined contains_named   	noun                      	NOT_VAGUE
The name Triceratops                                                      	instance  	CreativeWork   	determined contains_named   	MODIFIERS                 	NOT_VAGUE
three-horned face                                                         	instance  	Taxon          	undetermined                	adjective                 	NOT_VAGUE
the Ancient Greek words                                                   	class     	CreativeWork   	determined contains_named   	MODIFIERS                 	NOT_VAGUE
Triceratops                                                               	class     	Taxon          	named                       	MODIFIERS                 	NOT_VAGUE
numerous remains                                                          	class     	Product        	undetermined                	adjective                 	portions
the genus                                                                 	instance  	Taxon          	determined anaphora         	MODIFIERS                 	NOT_VAGUE
Othniel Charles Marsh                                                     	instance  	Person         	named                       	MODIFIERS                 	NOT_VAGUE
Specimens representing life stages                                        	class     	Product        	undetermined                	noun                      	portions
adult                                                                     	instance  	Intangible     	undetermined                	MODIFIERS                 	degree
the archetypal ceratopsid                                                 	instance  	Taxon          	determined                  	adjective                 	subjective
Triceratops                                                               	class     	Taxon          	undetermined                	MODIFIERS                 	NOT_VAGUE
one of the most popular dinosaurs                                         	class     	Taxon          	determined                  	adjective                 	subjective portions
film                                                                      	instance  	CreativeWork   	mass_noun                   	MODIFIERS                 	portions
postal stamps                                                             	class     	CreativeWork   	undetermined                	adjective                 	portions
many other types                                                         	class     	Intangible   	numbered                    	adjective                	portions
media                                                                     	class     	CreativeWork   	undetermined                   	adjective                	portions
a large bony frill and three horns                                         	class     	Product        	undetermined numbered       	adjective                	degree
the skull                                                                 	class     	Product        	determined                     	MODIFIERS                	NOT_VAGUE
its large four-legged body                                                	class     	Taxon          	qualified_anaphora mass_noun	adjective                	degree
similarities                                                               	class     	Intangible     	undetermined                	adjective                	subjective portions
the modern rhinoceros                                                    	class     	Taxon        	determined                  	adjective                	NOT_VAGUE
Triceratops                                                               	class     	Taxon          	named                       	MODIFIERS                 	NOT_VAGUE
