expression                                                                          	plurality 	Yago4          	manifestation                         	modifiers            	vagueness
Yellowstone National Park                                                           	instance  	Place        	named                                 	MODIFIERS            	NOT_VAGUE
an American national park                                                           	instance  	Place        	undetermined                          	adjective            	NOT_VAGUE
the western United States                                                           	instance  	Place        	determined named                      	adjective            	NOT_VAGUE
the northwest corner                                                                 	instance  	Place        	determined                           	MODIFIERS             	NOT_VAGUE
Wyoming                                                                               	instance  	Place        	named                                	MODIFIERS             	NOT_VAGUE
Montana                                                                             	instance  	Place        	named                                 	MODIFIERS            	NOT_VAGUE
Idaho                                                                               	instance  	Place        	named                                 	MODIFIERS            	NOT_VAGUE
the U.S. Congress                                                                   	instance  	Organization   	determined named                      	MODIFIERS            	NOT_VAGUE
law                                                                                 	instance  	creativework   	mass_noun                             	modifiers            	NOT_VAGUE
President Ulysses S. Grant                                                          	instance  	Person         	named                                 	MODIFIERS             	NOT_VAGUE
Yellowstone                                                                         	instance  	Place        	named                                 	MODIFIERS            	NOT_VAGUE
the first national park                                                                	instance  	Place        	determined                           	adjective           	NOT_VAGUE
the U.S                                                                                	instance  	Organization   	determined named                     	MODIFIERS           	NOT_VAGUE
the first national park                                                             	instance  	Place        	determined                            	adjective           	NOT_VAGUE
the world                                                                           	instance  	Place        	determined                            	MODIFIERS           	NOT_VAGUE
The park                                                                            	instance  	Place        	determined anaphora                   	MODIFIERS            	NOT_VAGUE
its wildlife                                                                        	instance  	Place        	qualified_anaphora mass_noun          	MODIFIERS            	NOT_VAGUE
its many geothermal features                                                        	class     	intangible     	determined numbered qualified_anaphora	adjective            	portions
Old Faithful geyser                                                                 	instance  	Place        	named                                 	MODIFIERS            	NOT_VAGUE
one of its most popular                                                             	instance  	intangible     	qualified_anaphora                    	adjective preposition	portions subjective
many types                                                                          	class     	intangible     	numbered                               	MODIFIERS             	portions
biomes                                                                                	class     	intangible     	undetermined                         	MODIFIERS             	portions
the subalpine forest                                                                	instance  	taxon          	determined                            	MODIFIERS            	NOT_VAGUE
part of the South Central Rockies forests ecoregion                                 	instance  	Place        	mass_noun contains_named              	preposition          	subjective
Native Americans                                                                    	class     	person         	undetermined named                    	modifiers            	portions
the Yellowstone region                                                              	instance  	Place        	determined contains_named             	MODIFIERS            	NOT_VAGUE
at least 11,000 years                                                               	class     	intangible     	numbered                              	MODIFIERS            	degree
visits                                                                                	class     	action         	undetermined                          	MODIFIERS             	portions
mountain men                                                                        	class     	Person         	undetermined                          	noun                 	portions
the early-to-mid-19th century                                                       	instance  	event          	determined                            	adjective            	degree
organized exploration                                                               	instance  	action         	mass_noun                             	adjective            	NOT_VAGUE
the late 1860s                                                                      	class     	event          	determined                            	adjective            	degree
Management and control                                                                	class   	action         	undetermined mass_noun                	MODIFIERS             	NOT_VAGUE
the park                                                                              	instance  	Place        	determined                          	MODIFIERS             	NOT_VAGUE
the jurisdiction                                                                    	instance  	Intangible   	determined                             	MODIFIERS             	NOT_VAGUE
the United States Department of the Interior                                        	instance  	organization   	determined named                       	MODIFIERS             	NOT_VAGUE
the first Secretary of the Interior                                                 	instance  	person         	determined named                      	adjective           	NOT_VAGUE
the park                                                                            	instance  	Place        	determined anaphora                   	MODIFIERS            	NOT_VAGUE
Columbus Delano                                                                     	instance  	person         	named                                 	adjective           	NOT_VAGUE
the U.S. Army                                                                       	instance  	organization   	determined named                      	MODIFIERS            	NOT_VAGUE
management                                                                             	instance  	action         	mass_noun contains_named              	MODIFIERS             	NOT_VAGUE
Yellowstone                                                                          	instance  	Place        	named                                 	MODIFIERS             	NOT_VAGUE
a 30-year period                                                                    	instance  	event          	undetermined                          	adjective            	NOT_VAGUE
administration                                                                        	instance  	action         	mass_noun                             	MODIFIERS             	NOT_VAGUE
the park                                                                             	instance  	Place        	determined                             	MODIFIERS             	NOT_VAGUE
the National Park Service                                                           	instance  	organization   	determined named                      	MODIFIERS            	NOT_VAGUE
